Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.5152E-11,1.9904E-05,0.16846,0,0,0,55.664,1.6047,-2.9519E-09,3.1164E-10,1.1438,-0.0001762,1.7331,0,0,0,0,0,0,package://UR5/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/base_link.STL,,Robot_portable_base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,0.19663,-2.7756E-16,-2.7756E-16,0,0,0,2.7279,0.013534,-3.8224E-13,-8.2573E-13,0.0098358,-2.493E-12,0.0098358,0,0,0,0,0,0,package://UR5/meshes/wheel_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/wheel_1.STL,,shaft-4;wheel_2-2,Origin_c_1,Axis_c_1,c_1,continuous,0.09,-0.15,0.05,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wheel_2,0.19663,-1.1102E-16,-2.7756E-17,0,0,0,2.7279,0.013534,-9.0945E-13,-2.879E-14,0.0098358,-1.9519E-12,0.0098358,0,0,0,0,0,0,package://UR5/meshes/wheel_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/wheel_2.STL,,shaft-3;wheel_2-1,Origin_c_2,Axis_c_2,c_2,continuous,0.09,0.15,0.05,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
wheel_3,0.062982,-2.2204E-16,2.7756E-17,0,0,0,2.7485,0.013714,-1.6296E-16,-2.1277E-13,0.0099243,-6.6257E-11,0.0099243,0,0,0,0,0,0,package://UR5/meshes/wheel_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/wheel_3.STL,,shaft-2;wheel-2,Origin_c_3,Axis_c_3,c_3,continuous,-0.34971,-0.15,0.05,0,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_4,0.062982,0,2.7756E-17,0,0,0,2.7485,0.013714,-5.3206E-14,-2.0601E-13,0.0099243,-4.8086E-11,0.0099243,0,0,0,0,0,0,package://UR5/meshes/wheel_4.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://UR5/meshes/wheel_4.STL,,wheel-1;shaft-1,Origin_c_4,Axis_c_4,c_4,continuous,-0.34971,0.15,0.05,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
base,-0.00059402,-1.0336E-08,0.013337,0,0,0,0.44131,0.00055426,-1.9731E-10,2.1555E-06,0.0005192,6.7421E-12,0.00096502,0,0,0,0,0,0,package://UR5/meshes/base.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/base.STL,,Base-1,Origin_fix_b,,fix_b,fixed,0,0,0.378,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L_1,0.015035,5.242E-06,0.087179,0,0,0,1.515,0.0024757,-3.8202E-07,-0.00032467,0.0025758,-1.478E-07,0.0028299,0,0,0,0,0,0,package://UR5/meshes/L_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/L_1.STL,,J1-1,Origin_rev1,Axis_rev1,rev1,revolute,0,0,0,0,0,0,base,0,0,-1,0,0,-0.7854,0.7854,,,,,,,,
L_2,0.079614,1.2378E-08,0.216,0,0,0,4.6673,0.021929,-2.0695E-09,-7.1914E-09,0.021355,7.5736E-07,0.0064409,0,0,0,0,0,0,package://UR5/meshes/L_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/L_2.STL,,J2-1,Origin_rev_2,Axis_rev_2,rev_2,revolute,0.053822,0,0.088,0,0,0,L_1,1,0,0,0,0,-2.4435,2.4435,,,,,,,,
L_3,-0.032544,5.8224E-08,0.13872,0,0,0,2.0772,0.011318,-1.1785E-08,0.00015564,0.011217,-1.2131E-08,0.0018069,0,0,0,0,0,0,package://UR5/meshes/L_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/L_3.STL,,J3-1,Origin_rev_3,Axis_rev_3,rev_3,revolute,0,0,0.425,0,0,0,L_2,1,0,0,0,0,-2.618,2.4435,,,,,,,,
L_4,0.019482,-4.8521E-09,0.04384,0,0,0,0.3979,0.00031479,-2.7724E-10,-2.9885E-05,0.00027908,5.0526E-11,0.00026101,0,0,0,0,0,0,package://UR5/meshes/L_4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/L_4.STL,,j4_b-1,Origin_rev_4,Axis_rev_4,rev_4,revolute,-0.039772,0,0.358,0,0,0,L_3,0,0,1,0,0,0,4.7124,,,,,,,,
L_5,0.04384,5.5856E-09,0.019482,0,0,0,0.3979,0.00026101,1.8466E-10,-2.9885E-05,0.00027908,-1.8811E-10,0.00031479,0,0,0,0,0,0,package://UR5/meshes/L_5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://UR5/meshes/L_5.STL,,j4_b-2,Origin_rev_5,Axis_rev_5,rev_5,revolute,0.072228,0,0.049871,0.00063618,0,0,L_4,1,0,0,0,0,-3.141,0.00063618,,,,,,,,
wrist,3.2299E-09,-0.0016506,0.079993,0,0,0,0.59767,0.00094351,8.3773E-12,-1.6019E-11,0.0009319,-5.633E-05,0.00049694,0,0,0,0,0,0,package://UR5/meshes/wrist.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/wrist.STL,,wrsit_1-1;gripper_base-2;screw_2-1;screw_2-2;screw_2-3;screw_2-4,Origin_wrist_rev,Axis_wrist_rev,wrist_rev,revolute,0.049871,0,0.051532,0,0,0,L_5,0,0,1,0,0,0,6.2832,,,,,,,,
gripper_1,0.0084492,-0.00079641,0.058137,0,0,0,0.085821,8.819E-05,-1.2405E-09,-5.0397E-07,9.1302E-05,2.0794E-09,1.6218E-05,0,0,0,0,0,0,package://UR5/meshes/gripper_1.STL,0.53725,0.34902,0.33725,1,0,0,0,0,0,0,package://UR5/meshes/gripper_1.STL,,gripper-1;screw_handler-1;screw-2;gear-1,Origin_gripp_1,Axis_gripp_1,gripp_1,revolute,0.016,0,0.16047,0,-0.017453,0,wrist,0,-1,0,0,0,0,0,,,,,,,,
gripper_2,-0.008452,0.014206,0.05813,0,0,0,0.08581,8.8158E-05,6.0078E-10,5.1648E-07,9.1266E-05,1.8778E-09,1.6211E-05,0,0,0,0,0,0,package://UR5/meshes/gripper_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://UR5/meshes/gripper_2.STL,,gear-2;gripper_2-2;screw-3;screw_handler-2,Origin_gripp_2,,gripp_2,revolute,-0.016,-0.015,0.16047,0,0.017453,0,wrist,0,0,0,0,0,0,0,,,,,,,,
